Index,Type,Price,Area,Location
645,T2,328000,70.81,Porto
646,T2,179900,66.56,Lisboa
647,T4,570000,142,Lisboa
648,T3,565000,128.10,Porto
649,T2,390000,106.60,Faro
650,T1,275000,61.50,Porto
651,T4,385000,135,Porto
652,T3,365000,158,Porto
653,T2,225000,72,Porto
654,T3,347500,110,Porto
655,T3,269000,127,Porto
656,T3,655000,134,Lisboa
657,T2,540000,97,Lisboa
658,T4,895000,177,Lisboa
659,T4,780000,225,Setúbal
660,T2,608000,122,Lisboa
661,T4,1895000,199,Lisboa
662,T3,1318000,249,Lisboa
663,T1,626500,67,Lisboa
664,T3,2500000,239,Lisboa
665,T3,775000,139,Lisboa
666,T4,2190000,162,Lisboa
667,T2,750000,91,Lisboa
668,T4,915000,177,Lisboa
669,T3,1665000,192,Lisboa
670,T2,559000,86,Beja
671,T3,640000,132,Lisboa
672,T1,608000,66,Lisboa
673,T3,710000,134,Lisboa
674,T3,1900000,134,Lisboa
675,T1,310000,80,Setúbal
676,T3,1150000,187,Lisboa
677,T2,520000,111,Lisboa
678,T3,780000,150,Lisboa
679,T3,440000,110.77,Faro
680,T3,360000,116,Porto
681,T1,360000,68,Porto
682,T4,395000,170,Porto
683,T3,284780,88,Porto
684,T1,185000,63,Faro
685,T1,182500,63,Faro
686,T3,160000,155.70,Aveiro
687,T3,273000,103.77,Porto
688,T2,227000,81.04,Porto
689,T1,199500,59,Faro
690,T2,195000,81.82,Porto
691,T3,588300,148.81,Faro
692,T3,583000,146.12,Faro
693,T3,238000,100,Setúbal
694,T3,259500,107,Porto
695,T3,310500,85,Setúbal
696,T3,400000,117,Porto
697,T3,550000,130.81,Faro
698,T2,250000,70,Faro
699,T4,392000,171,Porto
700,T3,349000,120,Setúbal
701,T2,195000,109,Porto
702,T2,195000,89.82,Ilha da Madeira
703,T2,269000,64.30,Porto
704,T2,138000,88,Aveiro
705,T3,149000,95,Santarém
706,T1,250000,45,Porto
707,T3,130000,113,Évora
708,T2,365000,96,Porto
709,T1,242000,66,Lisboa
710,T3,284780,87.05,Porto
711,T3,225000,100.80,Lisboa
713,T1,240000,56,Aveiro
714,T2,395000,104,Aveiro
715,T1,250000,61,Aveiro
716,T2,390000,99,Aveiro
717,T2,345000,97,Aveiro
718,T2,365000,95,Aveiro
719,T2,375000,99,Aveiro
720,T2,365000,97,Aveiro
721,T2,425000,104,Aveiro
722,T2,375000,95,Aveiro
723,T2,305000,95,Aveiro
724,T2,390000,97,Aveiro
725,T3,330000,89.80,Viana do Castelo
726,T2,312000,78,Porto
728,T3,1080000,167.98,Faro
729,T2,950000,142.68,Faro
730,T3,169900,120,Apartamento para comprar: Castelo Branco
731,T2,200000,78.30,Porto
732,T3,360000,141,Braga
733,T2,249900,70,Porto
